iter	Passed	Remaining
879	6779	378392
880	6786	378399
881	6794	378404
882	6802	378395
883	6809	378367
884	6817	378349
885	6824	378323
886	6832	378294
887	6839	378274
888	6847	378261
889	6854	378235
890	6862	378223
891	6870	378222
892	6877	378221
893	6885	378197
894	6893	378194
895	6900	378186
896	6908	378186
897	6916	378171
898	6923	378158
899	6931	378157
900	6939	378146
901	6946	378139
902	6954	378116
903	6962	378110
904	6969	378097
905	6977	378097
906	6985	378093
907	6993	378110
908	7000	378090
909	7008	378083
910	7016	378079
911	7024	378066
912	7032	378072
913	7039	378048
914	7047	378053
915	7054	378026
916	7062	378030
917	7070	378048
918	7078	378033
919	7085	377994
920	7092	377958
921	7100	377954
922	7107	377931
923	7115	377915
924	7122	377876
925	7130	377888
926	7137	377864
927	7145	377846
928	7152	377812
929	7160	377794
930	7167	377779
931	7175	377764
932	7182	377740
933	7189	377706
934	7197	377672
935	7204	377658
936	7212	377652
937	7220	377646
938	7227	377640
939	7235	377622
940	7242	377613
941	7250	377606
942	7258	377608
943	7266	377597
944	7274	377598
945	7281	377593
946	7289	377579
947	7296	377563
948	7304	377528
949	7311	377500
950	7318	377470
951	7326	377467
952	7334	377489
953	7342	377475
954	7349	377463
955	7357	377470
956	7365	377463
957	7373	377462
958	7380	377430
959	7387	377400
960	7395	377375
961	7403	377371
962	7410	377350
963	7418	377339
964	7425	377322
965	7432	377295
966	7440	377258
967	7447	377232
968	7454	377214
969	7462	377191
970	7469	377169
971	7477	377145
972	7484	377132
973	7492	377125
974	7500	377120
975	7507	377092
976	7514	377078
977	7522	377051
978	7530	377054
979	7538	377069
980	7545	377046
981	7552	377013
982	7560	377009
983	7567	376973
984	7575	376969
985	7583	376967
986	7591	376962
987	7598	376961
988	7606	376947
989	7613	376926
990	7621	376893
991	7628	376870
992	7635	376843
993	7643	376836
994	7651	376830
995	7658	376824
996	7666	376817
997	7674	376796
998	7681	376793
999	7689	376790
1000	7697	376795
1001	7705	376778
1002	7712	376759
1003	7721	376792
1004	7728	376787
1005	7736	376768
1006	7743	376760
1007	7751	376747
1008	7758	376717
1009	7766	376727
1010	7774	376719
1011	7781	376690
1012	7789	376681
1013	7797	376676
1014	7804	376665
1015	7812	376657
1016	7819	376632
1017	7827	376629
1018	7835	376610
1019	7842	376606
1020	7850	376606
1021	7857	376578
1022	7865	376590
1023	7873	376586
1024	7881	376572
1025	7888	376543
1026	7896	376534
1027	7903	376526
1028	7911	376513
1029	7918	376492
1030	7926	376484
1031	7933	376463
1032	7941	376464
1033	7949	376463
